relpath,mask_path,cloud_fraction_unet
data/raw/2026-01-29/master/frames/himawari_20260129T033000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T033000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T034000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T034000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T035000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T035000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T040000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T040000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T041000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T041000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T042000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T042000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T043000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T043000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T044000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T044000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T045000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T045000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T050000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T050000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T051000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T051000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T052000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T052000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T053000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T053000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T054000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T054000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T055000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T055000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T060000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T060000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T061000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T061000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T062000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T062000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T063000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T063000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T064000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T064000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T065000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T065000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T070000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T070000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T071000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T071000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T072000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T072000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T073000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T073000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T074000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T074000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T075000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T075000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T080000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T080000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T081000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T081000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T082000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T082000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T083000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T083000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T084000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T084000Z_mask.png,0.0
data/raw/2026-01-29/master/frames/himawari_20260129T085000Z.png,out/2026-01-29/_thr_probe_out_thr25/masks_unet/himawari_20260129T085000Z_mask.png,0.0
