relpath,is_black,mean_luma,std_luma
himawari_20260125T052000Z.png,0,49.195,46.680
himawari_20260125T053000Z.png,0,47.358,46.036
himawari_20260125T054000Z.png,0,45.580,45.482
himawari_20260125T055000Z.png,0,43.914,44.943
himawari_20260125T235000Z.png,0,45.343,45.859
himawari_20260126T001000Z.png,0,49.433,47.310
himawari_20260126T002000Z.png,0,51.574,48.240
himawari_20260126T003000Z.png,0,53.607,49.144
himawari_20260126T004000Z.png,0,55.435,49.914
himawari_20260126T005000Z.png,0,57.036,50.511
himawari_20260126T010000Z.png,0,58.330,50.796
himawari_20260126T011000Z.png,0,59.415,50.899
himawari_20260126T012000Z.png,0,60.499,51.075
himawari_20260126T013000Z.png,0,61.555,51.314
himawari_20260126T014000Z.png,0,62.527,51.552
himawari_20260126T015000Z.png,0,63.387,51.759
himawari_20260126T020000Z.png,0,64.123,51.934
himawari_20260126T021000Z.png,0,64.729,52.079
himawari_20260126T022000Z.png,0,65.203,52.192
himawari_20260126T023000Z.png,0,65.536,52.267
himawari_20260126T025000Z.png,0,65.714,52.283
himawari_20260126T030000Z.png,0,65.589,52.236
himawari_20260126T031000Z.png,0,65.325,52.164
himawari_20260126T032000Z.png,0,64.904,52.057
himawari_20260126T033000Z.png,0,64.342,51.919
himawari_20260126T034000Z.png,0,63.643,51.762
himawari_20260126T035000Z.png,0,62.833,51.595
himawari_20260126T040000Z.png,0,61.943,51.464
himawari_20260126T041000Z.png,0,61.045,51.414
himawari_20260126T042000Z.png,0,60.102,51.380
himawari_20260126T043000Z.png,0,58.975,51.202
himawari_20260126T044000Z.png,0,57.529,50.749
himawari_20260126T045000Z.png,0,55.889,50.111
himawari_20260126T050000Z.png,0,54.185,49.414
himawari_20260126T051000Z.png,0,52.361,48.650
himawari_20260126T052000Z.png,0,50.446,47.866
himawari_20260126T053000Z.png,0,48.573,47.214
himawari_20260126T054000Z.png,0,46.770,46.661
himawari_20260126T235000Z.png,0,46.899,48.473
himawari_20260127T000000Z.png,0,48.855,49.065
himawari_20260127T001000Z.png,0,51.013,49.849
himawari_20260127T002000Z.png,0,53.182,50.740
himawari_20260127T003000Z.png,0,55.205,51.548
himawari_20260127T004000Z.png,0,56.962,52.170
himawari_20260127T005000Z.png,0,58.488,52.643
himawari_20260127T010000Z.png,0,59.769,52.876
himawari_20260127T011000Z.png,0,60.843,52.938
himawari_20260127T012000Z.png,0,61.883,53.034
himawari_20260127T013000Z.png,0,62.904,53.197
himawari_20260127T014000Z.png,0,63.853,53.366
himawari_20260127T015000Z.png,0,64.685,53.508
himawari_20260127T020000Z.png,0,65.396,53.612
himawari_20260127T021000Z.png,0,65.984,53.684
