filename,mask_path,threshold,cloud_fraction,white_pixels,total_pixels
himawari_20260227T031000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T031000Z_mask.png,0.5,0.180389404296875,11822,65536
himawari_20260227T032000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T032000Z_mask.png,0.5,0.1798858642578125,11789,65536
himawari_20260227T033000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T033000Z_mask.png,0.5,0.179290771484375,11750,65536
himawari_20260227T034000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T034000Z_mask.png,0.5,0.1778564453125,11656,65536
himawari_20260227T035000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T035000Z_mask.png,0.5,0.175750732421875,11518,65536
himawari_20260227T040000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T040000Z_mask.png,0.5,0.1737060546875,11384,65536
himawari_20260227T041000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T041000Z_mask.png,0.5,0.171234130859375,11222,65536
himawari_20260227T042000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T042000Z_mask.png,0.5,0.1677398681640625,10993,65536
himawari_20260227T043000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T043000Z_mask.png,0.5,0.1647186279296875,10795,65536
himawari_20260227T044000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T044000Z_mask.png,0.5,0.161590576171875,10590,65536
himawari_20260227T045000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T045000Z_mask.png,0.5,0.157928466796875,10350,65536
himawari_20260227T050000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T050000Z_mask.png,0.5,0.15545654296875,10188,65536
himawari_20260227T051000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T051000Z_mask.png,0.5,0.1500701904296875,9835,65536
himawari_20260227T052000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T052000Z_mask.png,0.5,0.1407318115234375,9223,65536
himawari_20260227T053000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T053000Z_mask.png,0.5,0.1313018798828125,8605,65536
himawari_20260227T054000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T054000Z_mask.png,0.5,0.1221923828125,8008,65536
himawari_20260227T055000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T055000Z_mask.png,0.5,0.11676025390625,7652,65536
himawari_20260227T060000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T060000Z_mask.png,0.5,0.11181640625,7328,65536
himawari_20260227T061000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T061000Z_mask.png,0.5,0.108367919921875,7102,65536
himawari_20260227T062000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T062000Z_mask.png,0.5,0.1046600341796875,6859,65536
himawari_20260227T063000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T063000Z_mask.png,0.5,0.0998687744140625,6545,65536
himawari_20260227T064000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T064000Z_mask.png,0.5,0.094940185546875,6222,65536
himawari_20260227T065000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T065000Z_mask.png,0.5,0.0908050537109375,5951,65536
himawari_20260227T070000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T070000Z_mask.png,0.5,0.0847320556640625,5553,65536
himawari_20260227T071000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T071000Z_mask.png,0.5,0.07696533203125,5044,65536
himawari_20260227T072000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T072000Z_mask.png,0.5,0.0684814453125,4488,65536
himawari_20260227T073000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T073000Z_mask.png,0.5,0.0622711181640625,4081,65536
himawari_20260227T074000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T074000Z_mask.png,0.5,0.0555877685546875,3643,65536
himawari_20260227T075000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T075000Z_mask.png,0.5,0.0488433837890625,3201,65536
himawari_20260227T080000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T080000Z_mask.png,0.5,0.046234130859375,3030,65536
himawari_20260227T081000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T081000Z_mask.png,0.5,0.0431060791015625,2825,65536
himawari_20260227T082000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T082000Z_mask.png,0.5,0.03973388671875,2604,65536
himawari_20260227T083000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T083000Z_mask.png,0.5,0.0358123779296875,2347,65536
himawari_20260227T084000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T084000Z_mask.png,0.5,0.0325469970703125,2133,65536
himawari_20260227T085000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T085000Z_mask.png,0.5,0.0301513671875,1976,65536
himawari_20260227T090000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T090000Z_mask.png,0.5,0.029449462890625,1930,65536
himawari_20260227T091000Z.png,out/2026-02-27/phase3_unet_pixelmask_thr05/masks_unet/himawari_20260227T091000Z_mask.png,0.5,0.028564453125,1872,65536
