timestamp_utc,relpath,mask_path,n_objects,total_cloud_frac,largest_area_px,largest_area_frac,largest_centroid_x,largest_centroid_y
,data/raw/2026-01-31/master/frames/himawari_20260131T011000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T011000Z_mask.png,2,0.02960205078125,616,0.0093994140625,152.9935064935065,115.30357142857143
,data/raw/2026-01-31/master/frames/himawari_20260131T012000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T012000Z_mask.png,2,0.03155517578125,632,0.0096435546875,152.76740506329114,115.4620253164557
,data/raw/2026-01-31/master/frames/himawari_20260131T013000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T013000Z_mask.png,2,0.031982421875,709,0.0108184814453125,155.20874471086037,116.21720733427362
,data/raw/2026-01-31/master/frames/himawari_20260131T014000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T014000Z_mask.png,2,0.034027099609375,683,0.0104217529296875,154.62371888726207,115.99560761346999
,data/raw/2026-01-31/master/frames/himawari_20260131T015000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T015000Z_mask.png,2,0.0356597900390625,691,0.0105438232421875,155.34876989869753,115.89290882778582
,data/raw/2026-01-31/master/frames/himawari_20260131T020000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T020000Z_mask.png,3,0.0372772216796875,674,0.010284423828125,154.35311572700297,115.54896142433235
,data/raw/2026-01-31/master/frames/himawari_20260131T021000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T021000Z_mask.png,3,0.0410003662109375,705,0.0107574462890625,155.37021276595743,116.00283687943262
,data/raw/2026-01-31/master/frames/himawari_20260131T022000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T022000Z_mask.png,3,0.0420989990234375,709,0.0108184814453125,154.51480959097321,115.95909732016925
,data/raw/2026-01-31/master/frames/himawari_20260131T023000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T023000Z_mask.png,3,0.0411529541015625,653,0.0099639892578125,152.75344563552832,115.72434915773354
,data/raw/2026-01-31/master/frames/himawari_20260131T025000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T025000Z_mask.png,3,0.0404205322265625,570,0.008697509765625,148.72105263157894,116.03333333333333
,data/raw/2026-01-31/master/frames/himawari_20260131T030000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T030000Z_mask.png,2,0.03985595703125,597,0.0091094970703125,86.68844221105527,61.8643216080402
,data/raw/2026-01-31/master/frames/himawari_20260131T031000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T031000Z_mask.png,2,0.0391082763671875,617,0.0094146728515625,86.6482982171799,61.67260940032415
,data/raw/2026-01-31/master/frames/himawari_20260131T032000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T032000Z_mask.png,2,0.0401611328125,672,0.01025390625,85.0625,61.482142857142854
,data/raw/2026-01-31/master/frames/himawari_20260131T033000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T033000Z_mask.png,2,0.0396728515625,692,0.01055908203125,84.57514450867052,61.52745664739884
,data/raw/2026-01-31/master/frames/himawari_20260131T034000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T034000Z_mask.png,2,0.038543701171875,710,0.010833740234375,84.36338028169014,61.61830985915493
,data/raw/2026-01-31/master/frames/himawari_20260131T035000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T035000Z_mask.png,2,0.038848876953125,716,0.01092529296875,84.3268156424581,61.597765363128495
,data/raw/2026-01-31/master/frames/himawari_20260131T040000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T040000Z_mask.png,2,0.0378570556640625,723,0.0110321044921875,84.05947441217151,61.8118948824343
,data/raw/2026-01-31/master/frames/himawari_20260131T041000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T041000Z_mask.png,2,0.0380401611328125,720,0.010986328125,84.24305555555556,61.704166666666666
,data/raw/2026-01-31/master/frames/himawari_20260131T042000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T042000Z_mask.png,2,0.0373687744140625,713,0.0108795166015625,84.36886395511921,61.68583450210379
,data/raw/2026-01-31/master/frames/himawari_20260131T043000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T043000Z_mask.png,2,0.037933349609375,734,0.011199951171875,83.62806539509536,61.97138964577657
,data/raw/2026-01-31/master/frames/himawari_20260131T044000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T044000Z_mask.png,2,0.0366668701171875,719,0.0109710693359375,83.84979137691238,61.887343532684284
,data/raw/2026-01-31/master/frames/himawari_20260131T045000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T045000Z_mask.png,3,0.0348968505859375,728,0.0111083984375,83.67032967032966,61.870879120879124
,data/raw/2026-01-31/master/frames/himawari_20260131T050000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T050000Z_mask.png,2,0.0321807861328125,706,0.010772705078125,82.93484419263456,62.05665722379604
,data/raw/2026-01-31/master/frames/himawari_20260131T051000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T051000Z_mask.png,2,0.0302581787109375,711,0.0108489990234375,83.38396624472574,62.0126582278481
,data/raw/2026-01-31/master/frames/himawari_20260131T052000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T052000Z_mask.png,2,0.02532958984375,602,0.009185791015625,82.60797342192691,62.5
,data/raw/2026-01-31/master/frames/himawari_20260131T053000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T053000Z_mask.png,1,0.0220794677734375,495,0.0075531005859375,80.75959595959596,62.61818181818182
,data/raw/2026-01-31/master/frames/himawari_20260131T054000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T054000Z_mask.png,1,0.0191650390625,411,0.0062713623046875,77.57664233576642,63.639902676399025
,data/raw/2026-01-31/master/frames/himawari_20260131T055000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T055000Z_mask.png,1,0.0148773193359375,318,0.004852294921875,76.10377358490567,64.24213836477988
,data/raw/2026-01-31/master/frames/himawari_20260131T060000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T060000Z_mask.png,1,0.010650634765625,251,0.0038299560546875,75.84462151394422,64.56972111553785
,data/raw/2026-01-31/master/frames/himawari_20260131T061000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T061000Z_mask.png,0,0.0083770751953125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T062000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T062000Z_mask.png,0,0.0050506591796875,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T063000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T063000Z_mask.png,0,0.00311279296875,0,0.0,,
