relpath,is_black,mean_luma,std_luma
himawari_20260129T233000Z.png,0,41.644,43.960
himawari_20260129T234000Z.png,0,43.325,44.466
himawari_20260129T235000Z.png,0,45.086,44.979
himawari_20260130T000000Z.png,0,47.022,45.580
himawari_20260130T001000Z.png,0,49.125,46.361
himawari_20260130T002000Z.png,0,51.267,47.295
himawari_20260130T003000Z.png,0,53.268,48.148
himawari_20260130T004000Z.png,0,55.012,48.775
himawari_20260130T005000Z.png,0,56.500,49.160
himawari_20260130T010000Z.png,0,57.725,49.294
himawari_20260130T011000Z.png,0,58.848,49.393
himawari_20260130T012000Z.png,0,59.969,49.550
himawari_20260130T013000Z.png,0,61.046,49.736
himawari_20260130T014000Z.png,0,62.047,49.928
himawari_20260130T015000Z.png,0,62.942,50.102
himawari_20260130T020000Z.png,0,63.711,50.258
himawari_20260130T021000Z.png,0,64.357,50.395
himawari_20260130T022000Z.png,0,64.878,50.511
himawari_20260130T023000Z.png,0,65.240,50.580
himawari_20260130T025000Z.png,0,65.468,50.606
himawari_20260130T030000Z.png,0,65.346,50.554
himawari_20260130T031000Z.png,0,65.071,50.466
himawari_20260130T032000Z.png,0,64.650,50.351
himawari_20260130T033000Z.png,0,64.073,50.210
himawari_20260130T034000Z.png,0,63.361,50.041
himawari_20260130T035000Z.png,0,62.517,49.859
himawari_20260130T040000Z.png,0,61.576,49.689
himawari_20260130T041000Z.png,0,60.566,49.532
himawari_20260130T042000Z.png,0,59.543,49.429
himawari_20260130T043000Z.png,0,58.401,49.281
himawari_20260130T044000Z.png,0,56.977,48.919
himawari_20260130T045000Z.png,0,55.317,48.390
himawari_20260130T050000Z.png,0,53.585,47.819
himawari_20260130T051000Z.png,0,51.799,47.157
himawari_20260130T052000Z.png,0,49.877,46.373
himawari_20260130T053000Z.png,0,47.910,45.640
himawari_20260130T054000Z.png,0,45.994,45.027
himawari_20260130T055000Z.png,0,44.206,44.472
himawari_20260130T060000Z.png,0,42.507,43.910
himawari_20260130T061000Z.png,0,40.845,43.319
himawari_20260130T062000Z.png,0,39.201,42.692
himawari_20260130T063000Z.png,0,37.569,42.036
himawari_20260130T064000Z.png,0,35.960,41.344
himawari_20260130T065000Z.png,0,34.387,40.638
himawari_20260130T070000Z.png,0,32.878,39.937
himawari_20260130T071000Z.png,0,31.419,39.231
himawari_20260130T072000Z.png,0,30.003,38.498
himawari_20260130T073000Z.png,0,28.643,37.768
himawari_20260130T074000Z.png,0,27.337,37.053
himawari_20260130T075000Z.png,0,26.082,36.359
himawari_20260130T080000Z.png,0,24.882,35.701
himawari_20260130T081000Z.png,0,23.745,35.088
himawari_20260130T082000Z.png,0,22.654,34.522
himawari_20260130T083000Z.png,0,21.617,34.014
himawari_20260130T084000Z.png,0,20.627,33.560
himawari_20260130T085000Z.png,0,19.679,33.157
himawari_20260130T090000Z.png,0,18.782,32.805
himawari_20260130T091000Z.png,0,17.922,32.498
himawari_20260130T092000Z.png,0,17.113,32.245
himawari_20260130T093000Z.png,0,16.338,32.020
himawari_20260130T094000Z.png,0,15.599,31.819
himawari_20260130T095000Z.png,0,14.888,31.629
himawari_20260130T100000Z.png,0,14.204,31.455
himawari_20260130T101000Z.png,0,13.536,31.293
himawari_20260130T102000Z.png,0,12.884,31.135
himawari_20260130T103000Z.png,0,12.250,30.980
himawari_20260130T104000Z.png,1,0.552,4.053
himawari_20260130T105000Z.png,0,11.019,30.674
himawari_20260130T110000Z.png,0,10.413,30.487
himawari_20260130T111000Z.png,0,9.803,30.239
himawari_20260130T112000Z.png,0,9.189,29.908
himawari_20260130T113000Z.png,0,8.577,29.521
himawari_20260130T114000Z.png,0,7.967,29.059
himawari_20260130T115000Z.png,0,7.361,28.520
himawari_20260130T120000Z.png,0,6.754,27.861
himawari_20260130T121000Z.png,0,6.149,27.052
himawari_20260130T122000Z.png,0,5.551,26.076
himawari_20260130T123000Z.png,0,4.964,24.931
himawari_20260130T124000Z.png,0,4.393,23.641
himawari_20260130T125000Z.png,0,3.844,22.202
himawari_20260130T130000Z.png,0,3.293,20.412
himawari_20260130T131000Z.png,0,2.729,18.095
himawari_20260130T132000Z.png,0,2.252,16.032
himawari_20260130T133000Z.png,0,1.867,14.344
himawari_20260130T134000Z.png,0,1.566,12.953
himawari_20260130T135000Z.png,0,1.319,11.671
himawari_20260130T140000Z.png,0,1.115,10.441
himawari_20260130T141000Z.png,0,0.971,9.331
himawari_20260130T142000Z.png,0,0.891,8.468
himawari_20260130T143000Z.png,0,0.845,7.930
himawari_20260130T144000Z.png,1,0.552,4.053
himawari_20260130T145000Z.png,0,0.826,7.871
himawari_20260130T150000Z.png,0,0.871,8.258
himawari_20260130T151000Z.png,0,0.919,8.903
himawari_20260130T152000Z.png,0,1.008,9.786
himawari_20260130T153000Z.png,0,1.175,10.851
himawari_20260130T154000Z.png,0,1.388,12.049
himawari_20260130T155000Z.png,0,1.650,13.363
himawari_20260130T160000Z.png,0,1.961,14.782
himawari_20260130T161000Z.png,0,2.321,16.270
himawari_20260130T162000Z.png,0,2.759,17.987
himawari_20260130T163000Z.png,0,3.272,19.885
himawari_20260130T164000Z.png,0,3.780,21.368
himawari_20260130T165000Z.png,0,4.329,22.875
himawari_20260130T170000Z.png,0,4.910,24.325
himawari_20260130T171000Z.png,0,5.507,25.605
himawari_20260130T172000Z.png,0,6.114,26.717
himawari_20260130T173000Z.png,0,6.724,27.654
himawari_20260130T174000Z.png,0,7.329,28.395
himawari_20260130T175000Z.png,0,7.930,28.965
himawari_20260130T180000Z.png,0,8.531,29.382
himawari_20260130T181000Z.png,0,9.132,29.669
himawari_20260130T182000Z.png,0,9.720,29.827
himawari_20260130T183000Z.png,0,10.304,29.944
himawari_20260130T184000Z.png,0,10.895,30.061
himawari_20260130T185000Z.png,0,11.496,30.219
himawari_20260130T190000Z.png,0,12.115,30.434
himawari_20260130T191000Z.png,0,12.757,30.706
himawari_20260130T192000Z.png,0,13.412,31.024
himawari_20260130T193000Z.png,0,14.080,31.367
himawari_20260130T194000Z.png,0,14.761,31.720
himawari_20260130T195000Z.png,0,15.455,32.071
himawari_20260130T200000Z.png,0,16.169,32.425
himawari_20260130T201000Z.png,0,16.908,32.777
himawari_20260130T202000Z.png,0,17.681,33.136
himawari_20260130T203000Z.png,0,18.487,33.498
himawari_20260130T204000Z.png,0,19.347,33.883
himawari_20260130T205000Z.png,0,20.247,34.281
himawari_20260130T210000Z.png,0,21.198,34.706
himawari_20260130T211000Z.png,0,22.196,35.160
himawari_20260130T212000Z.png,0,23.250,35.649
himawari_20260130T213000Z.png,0,24.359,36.166
himawari_20260130T214000Z.png,0,25.525,36.725
himawari_20260130T215000Z.png,0,26.743,37.309
himawari_20260130T220000Z.png,0,28.002,37.900
himawari_20260130T221000Z.png,0,29.308,38.502
himawari_20260130T222000Z.png,0,30.672,39.121
himawari_20260130T223000Z.png,0,32.102,39.756
himawari_20260130T224000Z.png,0,33.592,40.397
himawari_20260130T225000Z.png,0,35.157,41.055
himawari_20260130T230000Z.png,0,36.781,41.729
himawari_20260130T231000Z.png,1,0.552,4.053
