relpath,is_black,mean_luma,std_luma
himawari_20260227T210000Z.png,0,22.949,36.859
himawari_20260227T211000Z.png,0,24.167,37.554
himawari_20260227T212000Z.png,0,25.449,38.272
himawari_20260227T213000Z.png,0,26.795,39.015
himawari_20260227T214000Z.png,0,28.197,39.784
himawari_20260227T215000Z.png,0,29.653,40.583
himawari_20260227T220000Z.png,0,31.166,41.394
himawari_20260227T221000Z.png,0,32.734,42.225
himawari_20260227T222000Z.png,0,34.345,43.059
himawari_20260227T223000Z.png,0,36.012,43.891
himawari_20260227T224000Z.png,0,37.725,44.709
himawari_20260227T225000Z.png,0,39.494,45.519
himawari_20260227T230000Z.png,0,41.306,46.320
himawari_20260227T231000Z.png,0,43.156,47.102
himawari_20260227T232000Z.png,0,45.020,47.844
himawari_20260227T233000Z.png,0,46.913,48.560
himawari_20260227T234000Z.png,0,48.899,49.268
himawari_20260227T235000Z.png,0,51.039,50.013
himawari_20260228T000000Z.png,0,53.362,50.894
himawari_20260228T001000Z.png,0,55.681,51.842
himawari_20260228T002000Z.png,0,57.884,52.685
himawari_20260228T003000Z.png,0,59.810,53.289
himawari_20260228T004000Z.png,0,61.384,53.607
himawari_20260228T005000Z.png,0,62.814,53.851
himawari_20260228T010000Z.png,0,64.248,54.146
himawari_20260228T011000Z.png,1,0.552,4.053
himawari_20260228T012000Z.png,1,0.552,4.053
himawari_20260228T013000Z.png,1,0.552,4.053
himawari_20260228T014000Z.png,1,0.552,4.053
himawari_20260228T015000Z.png,1,0.552,4.053
himawari_20260228T020000Z.png,1,0.552,4.053
himawari_20260228T021000Z.png,1,0.552,4.053
himawari_20260228T022000Z.png,1,0.552,4.053
himawari_20260228T023000Z.png,1,0.552,4.053
himawari_20260228T024000Z.png,1,0.552,4.053
himawari_20260228T025000Z.png,1,0.552,4.053
himawari_20260228T030000Z.png,1,0.552,4.053
himawari_20260228T031000Z.png,1,0.552,4.053
himawari_20260228T032000Z.png,1,0.552,4.053
himawari_20260228T033000Z.png,1,0.552,4.053
himawari_20260228T034000Z.png,1,0.552,4.053
himawari_20260228T035000Z.png,1,0.552,4.053
himawari_20260228T040000Z.png,1,0.552,4.053
himawari_20260228T041000Z.png,1,0.552,4.053
himawari_20260228T042000Z.png,1,0.552,4.053
himawari_20260228T043000Z.png,1,0.552,4.053
himawari_20260228T044000Z.png,1,0.552,4.053
himawari_20260228T045000Z.png,1,0.552,4.053
himawari_20260228T050000Z.png,1,0.552,4.053
himawari_20260228T051000Z.png,1,0.552,4.053
himawari_20260228T052000Z.png,1,0.552,4.053
himawari_20260228T053000Z.png,1,0.552,4.053
himawari_20260228T054000Z.png,1,0.552,4.053
himawari_20260228T055000Z.png,1,0.552,4.053
himawari_20260228T060000Z.png,1,0.552,4.053
himawari_20260228T061000Z.png,1,0.552,4.053
himawari_20260228T062000Z.png,1,0.552,4.053
himawari_20260228T063000Z.png,1,0.552,4.053
himawari_20260228T064000Z.png,0,39.433,44.918
himawari_20260228T065000Z.png,0,37.627,44.072
himawari_20260228T070000Z.png,0,35.862,43.215
himawari_20260228T071000Z.png,0,34.148,42.340
himawari_20260228T072000Z.png,0,32.482,41.455
himawari_20260228T073000Z.png,0,30.876,40.566
himawari_20260228T074000Z.png,0,29.323,39.665
himawari_20260228T075000Z.png,0,27.834,38.767
himawari_20260228T080000Z.png,0,26.405,37.875
himawari_20260228T081000Z.png,0,25.038,36.990
himawari_20260228T082000Z.png,0,23.735,36.136
himawari_20260228T083000Z.png,0,22.481,35.311
himawari_20260228T084000Z.png,0,21.288,34.535
himawari_20260228T085000Z.png,0,20.153,33.817
himawari_20260228T090000Z.png,0,19.082,33.160
himawari_20260228T091000Z.png,1,0.552,4.053
