epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou
1,0.9815067052841187,1.231252372264862,0.5915815323591233,0.4706076979637146,0.4335934937000275,0.3106723874807358
2,0.8291572491327922,1.0966836214065552,0.7925778746604919,0.7766428589820862,0.6610390683015187,0.6364256590604782
3,0.7914787173271179,0.9803696870803833,0.8215280572573344,0.8028350174427032,0.6999764283498128,0.6714532822370529
4,0.7787424325942993,0.9641343653202057,0.8209356069564819,0.7486374825239182,0.7049300372600555,0.6002598702907562
5,0.7361081918080647,0.9500541239976883,0.861451256275177,0.8062050938606262,0.7590174635251363,0.6767130196094513
6,0.7366560777028401,0.9253808110952377,0.8423510988553365,0.787705808877945,0.7314317226409912,0.6514863073825836
7,0.7017610430717468,0.9123331159353256,0.8694685737291972,0.8192493170499802,0.7709362506866455,0.6950805634260178
8,0.6812332948048909,0.9001955389976501,0.8739898443222046,0.874184176325798,0.7788712978363037,0.7773003429174423
9,0.6612708886464437,0.8671914041042328,0.8865128755569458,0.8377436399459839,0.7976048429807027,0.7218690812587738
10,0.6544222712516785,0.8535512238740921,0.8878617763519288,0.8530041724443436,0.8004377563794454,0.7447729259729385
11,0.6253288547197978,0.8447036147117615,0.8992021083831787,0.8234007060527802,0.817659568786621,0.7013421058654785
12,0.6190345088640848,0.8517521619796753,0.8966561834017436,0.9030171185731888,0.8142051657040914,0.8236878514289856
13,0.5871469934781393,0.7786483466625214,0.9088916460673014,0.8693680167198181,0.8339850346247355,0.7700787335634232
14,0.5693863113721211,0.8010350167751312,0.9103778719902038,0.8412640392780304,0.8362347642580669,0.7273978292942047
15,0.5561438838640849,0.7899518311023712,0.9130448897679647,0.8174854069948196,0.8407264669736226,0.6924341171979904
16,0.5363750755786896,0.7556010335683823,0.9160044312477111,0.8549792021512985,0.8455472946166992,0.7476962059736252
17,0.5405505617459615,0.7519954591989517,0.9059276461601258,0.9044626206159592,0.8309631903966268,0.8263195306062698
18,0.5065014282862346,0.7229833900928497,0.9203034241994222,0.8263703882694244,0.8529989163080851,0.7054876536130905
19,0.49103469053904214,0.7283200621604919,0.9160131017367045,0.9019325077533722,0.8459751764933269,0.8219218403100967
20,0.4805026868979136,0.7079306840896606,0.9195161620775859,0.869812473654747,0.8516672213872274,0.7710723131895065
21,0.47192591230074565,0.6801262199878693,0.9175283312797546,0.889792874455452,0.8485174258550008,0.8017932325601578
22,0.4475969115893046,0.6569606810808182,0.9253413120905558,0.8738775551319122,0.8617067774136861,0.7770432978868484
23,0.43328578074773155,0.6415475308895111,0.922326119740804,0.8960284441709518,0.8566774884859721,0.8124980479478836
24,0.41957226594289143,0.634514644742012,0.925192121664683,0.9017395526170731,0.8614168286323547,0.8215101361274719
25,0.4051221470038096,0.6088789403438568,0.9283681631088256,0.8723314553499222,0.8665998697280883,0.7750442624092102
26,0.39760400652885436,0.6199518516659737,0.9252047936121622,0.8913532048463821,0.8617047111193339,0.8047658801078796
27,0.38865954279899595,0.5678052306175232,0.9248233040173849,0.8899059146642685,0.8614335616429647,0.8030135631561279
28,0.3596578379472097,0.5674715042114258,0.9374902327855428,0.8820309191942215,0.8825230042139689,0.7900132387876511
29,0.3492563307285309,0.56125308573246,0.9336344162623088,0.8561420142650604,0.8759251753489177,0.7495888471603394
30,0.3471498449643453,0.5186870247125626,0.9291184703509013,0.8547313958406448,0.86826278368632,0.7474613189697266
