epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.8228897386127048,0.3272942693697082,0.19938593854506811,0.9401557445526123,4.639723512796697e-10,4.639723512796697e-10
2,0.7499912778536478,0.4360964579714669,0.2832240511973699,0.9269324143727621,4.639723512796697e-10,4.639723512796697e-10
3,0.7194027370876737,0.5279236733913422,0.3648843533462948,0.9324196974436442,4.639723512796697e-10,4.639723512796697e-10
4,0.7094757556915283,0.5660135911570655,0.4014539702071084,0.8898751139640808,0.28641948103904724,0.1672597030798594
5,0.6976232330004374,0.588342054022683,0.4246588001648585,0.7774785757064819,0.762944221496582,0.6170658667882284
6,0.6864822639359368,0.6338865558306376,0.4702589015165965,0.8066058357556661,0.6301370660463969,0.46070372064908344
7,0.6775875753826566,0.6471543908119202,0.4860193994310167,0.6970308820406595,0.7458512981732687,0.5952509442965189
8,0.6703160802523295,0.6622888611422645,0.5058609876367781,0.6921129822731018,0.5861831108729044,0.41523897647857666
9,0.6617654164632162,0.6761400037341647,0.5199788577026792,0.7006662090619405,0.5498311718304952,0.3798062205314636
10,0.65144458744261,0.6910197271241082,0.5329884092013041,0.748531440893809,0.7180575728416443,0.5606817205746969
11,0.6441486212942336,0.7062137259377373,0.5519028272893693,0.6847285230954488,0.6732233166694641,0.5089665750662485
12,0.6360234551959567,0.7060229314698113,0.5528845687707266,0.6762906114260355,0.6429710189501444,0.47427859902381897
13,0.6302514142460294,0.7034248246086968,0.5502811835871803,0.7304215629895529,0.45119311412175495,0.29218124349912006
14,0.6249499188529121,0.673979726102617,0.5139437682098813,0.7382612427075704,0.7279645403226217,0.5731929143269857
15,0.6120644807815552,0.7375075485971239,0.5878894130388895,0.697673519452413,0.7720165054003397,0.6290703614552816
16,0.6043890515963236,0.7139145467016432,0.5631946788893806,0.6752557158470154,0.5336458186308543,0.36444588502248126
17,0.5973662270439996,0.7188109623061286,0.5718874865108066,0.7044656872749329,0.4780854384104411,0.3149536649386088
18,0.591270281208886,0.675153030289544,0.5140594707594978,0.6508110562960306,0.8234840234120687,0.7001486023267111
19,0.5832369062635634,0.7676343984074063,0.6291897230678134,0.6353543003400167,0.7733500997225443,0.6307939291000366
20,0.5677231285307143,0.7281203932232327,0.581236869096756,0.6345505515734354,0.6432200868924459,0.4749787549177806
21,0.558166331715054,0.7435295118225945,0.5979703929689195,0.6782682736714681,0.7563003301620483,0.6094551285107931
22,0.5452412234412299,0.8001173006163703,0.6726901067627801,0.610021690527598,0.5771335959434509,0.4064982732137044
23,0.5412469738059573,0.7458458344141642,0.6078977882862091,0.6558548013369242,0.5023445884386698,0.3361215690771739
24,0.537582493490643,0.6886152360174391,0.5303018192450205,0.5952092409133911,0.7861863970756531,0.6483545502026876
25,0.5309531490008036,0.7715544038348727,0.639245029952791,0.5633234182993571,0.8219074805577596,0.6978004376093546
26,0.5117362174722884,0.7900279760360718,0.662733813126882,0.6379721959431967,0.756156345208486,0.6084413131078085
27,0.4947642717096541,0.7822849022017585,0.6484575404061211,0.5910523533821106,0.8079010248184204,0.6781968077023824
28,0.48237283362282646,0.8139509757359823,0.6911332739724053,0.5210767388343811,0.7922613024711609,0.6569897731145223
29,0.4777187903722127,0.7803195185131497,0.6501987841394212,0.5304898023605347,0.6964933077494303,0.5351994037628174
30,0.46233342753516304,0.8054898778597513,0.6842905481656393,0.5421745578447977,0.6298780043919882,0.46053121487299603
