relpath,timestamp_utc,img_ok,cloud_fraction,mean_luma,std_luma,mask_path
data/japan_raw/2026-03-02/master/frames/himawari_20260301T082000Z.png,,1,0.17915818929437713,112.30753326416016,44.4083251953125,out/2026-03-02/daily/masks/himawari_20260301T082000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T083000Z.png,,1,0.18098095162449873,112.6205062866211,44.33154296875,out/2026-03-02/daily/masks/himawari_20260301T083000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T084000Z.png,,1,0.18040662874506377,112.92826843261719,44.279457092285156,out/2026-03-02/daily/masks/himawari_20260301T084000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T085000Z.png,,1,0.17986081834900502,113.21600341796875,44.2078742980957,out/2026-03-02/daily/masks/himawari_20260301T085000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T090000Z.png,,1,0.18056955722149923,113.46198272705078,44.14357376098633,out/2026-03-02/daily/masks/himawari_20260301T090000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T091000Z.png,,1,0.18104612301507292,113.70835876464844,44.0988883972168,out/2026-03-02/daily/masks/himawari_20260301T091000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T092000Z.png,,1,0.18307661915264972,113.93124389648438,44.07781982421875,out/2026-03-02/daily/masks/himawari_20260301T092000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T093000Z.png,,1,0.1825226623327692,114.1605453491211,44.03836441040039,out/2026-03-02/daily/masks/himawari_20260301T093000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T094000Z.png,,1,0.18368963754523812,114.40052795410156,44.00464630126953,out/2026-03-02/daily/masks/himawari_20260301T094000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T095000Z.png,,1,0.18648182431015065,114.60504913330078,43.97904586791992,out/2026-03-02/daily/masks/himawari_20260301T095000Z_mask.png
data/japan_raw/2026-03-02/master/frames/himawari_20260301T100000Z.png,,1,0.18801538859459932,114.81333923339844,43.97566223144531,out/2026-03-02/daily/masks/himawari_20260301T100000Z_mask.png
