relpath,filename,suffix,bytes,product_code,resolution_token,timestamp_utc,date_utc,time_utc,parsed_ok,width,height,aspect_ratio,mean_r,mean_g,mean_b,mean_luma,std_luma,img_ok,img_error,anomaly_signal,anomaly_z,is_bad_frame
data/raw/himawari_D531106_4d_20260122_051000Z.png,himawari_D531106_4d_20260122_051000Z.png,.png,6556001,D531106,4d,2026-01-22 05:10:00+00:00,20260122,51000,1,2200,2200,1.0,39.72870454545455,54.26752396694215,70.42458223140495,51.76125227272728,51.57360862644892,1,,51.76125227272728,-0.3800532179243495,False
data/raw/sequence/himawari_D531106_4d_20260123_022000Z.png,himawari_D531106_4d_20260123_022000Z.png,.png,7168628,D531106,4d,2026-01-23 02:20:00+00:00,20260123,22000,1,2200,2200,1.0,48.39693739669421,68.658376446281,90.13005847107438,65.04864442148761,54.65653229733702,1,,65.04864442148761,0.40047060128478107,False
data/raw/sequence/himawari_D531106_4d_20260123_023000Z.png,himawari_D531106_4d_20260123_023000Z.png,.png,7189731,D531106,4d,2026-01-23 02:30:00+00:00,20260123,23000,1,2200,2200,1.0,48.65962665289256,68.9916347107438,90.54997004132233,65.37085537190083,54.73960937829365,1,,65.37085537190083,0.4193978158045238,False
data/raw/sequence/himawari_D531106_4d_20260123_024000Z.png,himawari_D531106_4d_20260123_024000Z.png,.png,28824,D531106,4d,2026-01-23 02:40:00+00:00,20260123,24000,1,2200,2200,1.0,0.5523272727272728,0.5525355371900826,0.5532330578512397,0.5522347107438017,7.138471637550819,1,,0.5522347107438017,-3.3881572550401544,True
data/raw/sequence/himawari_D531106_4d_20260123_025000Z.png,himawari_D531106_4d_20260123_025000Z.png,.png,7210044,D531106,4d,2026-01-23 02:50:00+00:00,20260123,25000,1,2200,2200,1.0,48.87754049586777,69.15273099173554,90.72966983471076,65.55096033057852,54.794598098084975,1,,65.55096033057852,0.4299774847592575,False
data/raw/sequence/himawari_D531106_4d_20260123_030000Z.png,himawari_D531106_4d_20260123_030000Z.png,.png,7212565,D531106,4d,2026-01-23 03:00:00+00:00,20260123,30000,1,2200,2200,1.0,48.8276229338843,69.02238078512397,90.5083576446281,65.43375991735537,54.77890061268203,1,,65.43375991735537,0.423092934870335,False
data/raw/sequence/himawari_D531106_4d_20260123_031000Z.png,himawari_D531106_4d_20260123_031000Z.png,.png,7215026,D531106,4d,2026-01-23 03:10:00+00:00,20260123,31000,1,2200,2200,1.0,48.67416632231405,68.7386694214876,90.09258842975208,65.1742840909091,54.7299436343666,1,,65.1742840909091,0.4078508873125538,False
data/raw/sequence/himawari_D531106_4d_20260123_032000Z.png,himawari_D531106_4d_20260123_032000Z.png,.png,7209710,D531106,4d,2026-01-23 03:20:00+00:00,20260123,32000,1,2200,2200,1.0,48.41405826446281,68.29560516528926,89.46075495867768,64.76406033057852,54.64413289407308,1,,64.76406033057852,0.3837536519364286,False
data/raw/sequence/himawari_D531106_4d_20260123_033000Z.png,himawari_D531106_4d_20260123_033000Z.png,.png,7198889,D531106,4d,2026-01-23 03:30:00+00:00,20260123,33000,1,2200,2200,1.0,48.05734173553719,67.70189442148761,88.63283305785124,64.21455227272727,54.522786264774965,1,,64.21455227272727,0.3514746220712448,False
data/raw/sequence/himawari_D531106_4d_20260123_034000Z.png,himawari_D531106_4d_20260123_034000Z.png,.png,7186300,D531106,4d,2026-01-23 03:40:00+00:00,20260123,34000,1,2200,2200,1.0,47.60720185950413,66.94802128099174,87.58696549586777,63.516825,54.3583617574374,1,,63.516825,0.31048894560603457,False
data/raw/sequence/himawari_D531106_4d_20260123_035000Z.png,himawari_D531106_4d_20260123_035000Z.png,.png,7160984,D531106,4d,2026-01-23 03:50:00+00:00,20260123,35000,1,2200,2200,1.0,47.12790805785124,66.07482417355372,86.34276342975207,62.71847458677686,54.18738922940983,1,,62.71847458677686,0.2635924962034895,False
data/raw/sequence/himawari_D531106_4d_20260123_040000Z.png,himawari_D531106_4d_20260123_040000Z.png,.png,7133364,D531106,4d,2026-01-23 04:00:00+00:00,20260123,40000,1,2200,2200,1.0,46.640301859504135,65.150898553719,85.0226867768595,61.87999359504132,54.08306169118499,1,,61.87999359504132,0.21433870895339022,False
data/raw/sequence/himawari_D531106_4d_20260123_041000Z.png,himawari_D531106_4d_20260123_041000Z.png,.png,7106904,D531106,4d,2026-01-23 04:10:00+00:00,20260123,41000,1,2200,2200,1.0,46.1221097107438,64.21159297520661,83.65860991735538,61.0191673553719,54.07860011942757,1,,61.0191673553719,0.16377232416245913,False
